ticker,valuation_date,maturity_years,maturity_days,strike,moneyness,spot_price,call_price,implied_vol,heston_v0,heston_kappa,heston_theta,heston_sigma,heston_rho,risk_free_rate
NFLX,2026-03-11,0.005479,2,50.0,0.515783,96.94000244140625,46.96369919507138,3.1298169688596915,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,60.0,0.61894,96.94000244140625,36.966438540802706,2.317803581804681,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,65.0,0.670518,96.94000244140625,31.977808224603933,2.1043882572175905,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,66.0,0.680833,96.94000244140625,30.97808217505178,2.0310081193179754,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,67.0,0.691149,96.94000244140625,29.968356091477744,1.8210930975063966,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,68.0,0.701465,96.94000244140625,28.968630034883873,1.7539258797282484,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,69.0,0.71178,96.94000244140625,27.968903961536668,1.687600122721806,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,70.0,0.722096,96.94000244140625,26.969177911440966,1.622083765633047,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,71.0,0.732412,96.94000244140625,25.969451831793194,1.557343966790977,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,72.0,0.742727,96.94000244140625,24.98972576356489,1.6888456982547426,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,73.0,0.753043,96.94000244140625,23.969999700801296,1.430071228886077,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,74.0,0.763359,96.94000244140625,22.97027363913905,1.3674769209572801,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,75.0,0.773674,96.94000244140625,21.97054756996907,1.3055368839983403,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,76.0,0.78399,96.94000244140625,20.970821494605488,1.2442210681172219,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,77.0,0.794306,96.94000244140625,19.971095458899512,1.1834998787921887,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,78.0,0.804621,96.94000244140625,18.971369376757707,1.123341736365955,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,79.0,0.814937,96.94000244140625,18.01164331142604,1.2994615118227606,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,80.0,0.825253,96.94000244140625,16.971917260442638,1.004591993637165,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,81.0,0.835568,96.94000244140625,15.97219118143039,0.9459349888917369,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
NFLX,2026-03-11,0.005479,2,82.0,0.845884,96.94000244140625,15.022465188718584,1.1226673411323524,0.5381547483646649,10.0,0.14259448737260563,2.0,-0.18125143832496582,0.05
